No,Email Text,Label
1,Congratulations! You have won a lottery of $1000. Claim now!,spam
2,"Hi, can we reschedule our meeting to tomorrow?",not spam
3,Limited time offer! Buy now and get 50% off!,spam
4,Please find attached the report for this month.,not spam
5,Earn money from home without any investment!,spam
6,Reminder: Your appointment is scheduled for 3 PM.,not spam
7,You have been selected for a free vacation!,spam
8,Can you send me the project files?,not spam
9,Click here to claim your prize now!,spam
10,Let's catch up over coffee this weekend.,not spam
11,Act now! This deal expires today!,spam
12,Meeting agenda for tomorrow is attached.,not spam
13,Win a brand new iPhone by clicking this link!,spam
14,Thank you for your purchase.,not spam
15,Get rich quick with this simple trick!,spam
16,Can we have a call later today?,not spam
17,Exclusive deal just for you. Hurry up!,spam
18,Please review the document and share feedback.,not spam
19,You have won free tickets. Click to claim!,spam
20,Lunch at 1 PM?,not spam
21,Lowest prices guaranteed. Shop now!,spam
22,Your order has been shipped.,not spam
23,Double your income in a week!,spam
24,Team meeting postponed to next week.,not spam
25,Urgent! Update your account information now!,spam
26,Happy Birthday! Have a great day!,not spam
27,Claim your cashback reward now!,spam
28,Let's work on the assignment together.,not spam
29,Free entry in a contest. Click now!,spam
30,Can you help me with this task?,not spam
31,Special discount on all products today!,spam
32,Your subscription has been renewed.,not spam
33,Earn $500 daily from home!,spam
34,Project deadline is approaching.,not spam
35,Click this link to verify your account.,spam
36,Please confirm your attendance.,not spam
37,Get a free trial of our service now!,spam
38,Thanks for your email.,not spam
39,You are a lucky winner!,spam
40,Meeting minutes are attached.,not spam
41,Buy one get one free offer!,spam
42,Let's discuss the project tomorrow.,not spam
43,Win cash prizes instantly!,spam
44,Can you review this code?,not spam
45,Claim your free gift card now!,spam
46,Looking forward to your response.,not spam
47,Exclusive offer for selected users!,spam
48,Please update the spreadsheet.,not spam
49,Get cheap loans instantly!,spam
50,Let's finalize the report today.,not spam
51,"Hurry! Your account has been compromised, reset now!",spam
52,Can you join the Zoom meeting at 5 PM?,not spam
53,You have been pre-approved for a loan!,spam
54,Kindly share the updated presentation.,not spam
55,Win big prizes by participating today!,spam
56,Let’s meet in the office tomorrow morning.,not spam
57,Get instant cashback on your purchase!,spam
58,Please check the attached invoice.,not spam
59,Your mobile number has won a prize!,spam
60,I will call you later today.,not spam
61,"Limited stock available, buy now!",spam
62,Let's discuss your project requirements.,not spam
63,Earn passive income easily from home!,spam
64,Please submit your assignment by tonight.,not spam
65,Click here to unlock premium features!,spam
66,Your interview is scheduled for Monday.,not spam
67,Claim your bonus reward today!,spam
68,Thanks for attending the meeting.,not spam
69,Lowest EMI options available now!,spam
70,Can you review the budget report?,not spam
71,Get your free coupon code now!,spam
72,Let's finalize the design today.,not spam
73,You have been selected for a gift voucher!,spam
74,Please update the client on progress.,not spam
75,Buy now and save huge amounts!,spam
76,Your order will be delivered tomorrow.,not spam
77,Instant approval for credit cards!,spam
78,Meeting has been rescheduled to Friday.,not spam
79,Special offer only for today!,spam
80,Can you send me the latest version?,not spam
81,"Congratulations, you are a winner!",spam
82,Let me know your availability.,not spam
83,Grab the deal before it ends!,spam
84,Please confirm receipt of this email.,not spam
85,You have won a jackpot prize!,spam
86,Let's complete the documentation.,not spam
87,Exclusive sale just started!,spam
88,Kindly review the attached file.,not spam
89,Double your savings with this offer!,spam
90,I have shared the meeting notes.,not spam
91,Click now to claim your reward!,spam
92,Please attend the training session.,not spam
93,Limited period discount available!,spam
94,Let's prepare for the presentation.,not spam
95,You are eligible for a free upgrade!,spam
96,Please complete your profile update.,not spam
97,Earn rewards by referring friends!,spam
98,Can we schedule a quick call?,not spam
99,This is your last chance to win big!,spam
100,Looking forward to meeting you.,not spam
